[1025, 46, 1098, 70, 'Estado', 0.9999288320541382, 18]
[1096, 45, 1129, 71, 'de', 0.9999943971633911, 19]
[1129, 46, 1204, 70, 'Cuenta', 0.9999327659606934, 18]
[54, 51, 272, 125, 'BBVA', 0.9998831748962402, 55]
[926, 79, 1003, 97, 'Libreton', 0.949588418006897, 13]
[1010, 79, 1068, 97, 'Basico', 0.9360774755477905, 13]
[1071, 79, 1138, 97, 'Cuenta', 0.9998267292976379, 13]
[1141, 77, 1203, 102, 'Digital', 0.8075984716415405, 18]
[1105, 101, 1167, 118, 'PAGINA', 0.9997838139533997, 12]
[1170, 99, 1208, 119, '8/9', 0.9885743856430054, 15]
[1092, 139, 1194, 158, '1590782340', 0.9605440497398376, 14]
[1110, 173, 1191, 192, '05938331', 0.9997856020927429, 14]
[666, 136, 767, 159, 'No.deCuenta', 0.9998704195022583, 17]
[668, 170, 720, 193, 'No.de', 0.9322832226753235, 17]
[714, 170, 765, 193, 'Cliente', 0.9938551783561707, 17]
[29, 248, 129, 271, 'Glosario', 0.9992631077766418, 17]
[132, 248, 163, 269, 'de', 0.9999963045120239, 15]
[167, 248, 317, 271, 'Abreviaturas', 0.9732478260993958, 17]
[24, 277, 88, 295, 'ADMON', 0.977884829044342, 13]
[108, 280, 239, 297, 'ADMINISTRACION', 0.7714561820030212, 12]
[23, 299, 60, 317, 'ANT', 0.999931812286377, 13]
[106, 300, 184, 317, 'ANTERIOR', 0.9979436993598938, 12]
[23, 319, 74, 337, 'ANTIC', 0.9994584918022156, 13]
[106, 320, 201, 337, 'ANTICIPADA', 0.9411600232124329, 12]
[21, 336, 72, 359, 'ANUL', 0.9998502731323242, 17]
[109, 343, 197, 356, 'ANULACION', 0.9834769368171692, 9]
[23, 359, 78, 377, 'APORT', 0.9998063445091248, 13]
[108, 360, 207, 377, 'APORTACION', 0.7471812963485718, 12]
[23, 379, 60, 398, 'AUT', 0.999840497970581, 14]
[106, 382, 210, 399, 'AUTOMATICO', 0.9964129328727722, 12]
[24, 401, 58, 419, 'BCA', 0.998624324798584, 13]
[108, 401, 163, 419, 'BANCA', 0.9987943172454834, 13]
[23, 418, 71, 441, 'BCOS', 0.996620774269104, 17]
[108, 421, 171, 439, 'BANCOS', 0.998908519744873, 13]
[24, 439, 74, 458, 'BMOV', 0.9972274899482727, 14]
[108, 442, 210, 459, 'BBVAMEXICO', 0.7442547082901001, 12]
[24, 461, 74, 480, 'BONIF', 0.9993823766708374, 14]
[108, 463, 216, 480, 'BONIFICACION', 0.9439820647239685, 12]
[24, 481, 66, 500, 'COD.', 0.9987627267837524, 14]
[108, 484, 171, 501, 'CODIGO', 0.999554455280304, 12]
[171, 486, 194, 500, 'DE', 0.9989768266677856, 10]
[194, 484, 264, 501, 'LEYENDA', 0.9975650310516357, 12]
[23, 501, 57, 521, 'CAJ', 0.999595582485199, 15]
[106, 504, 167, 521, 'CAJERO', 0.9853169322013855, 12]
[24, 521, 71, 540, 'CANC', 0.9991317391395569, 14]
[108, 524, 216, 541, 'CANCELACION', 0.8061742782592773, 12]
[23, 541, 61, 562, 'CGO', 0.995366096496582, 15]
[106, 544, 163, 563, 'CARGO', 0.9991564750671387, 14]
[23, 562, 55, 582, 'CW', 0.9757243990898132, 15]
[106, 565, 153, 583, 'CASH', 0.853469967842102, 13]
[151, 565, 230, 582, 'WINDOWS', 0.9751870632171631, 12]
[24, 583, 88, 602, 'CH/CHQ', 0.5383762121200562, 14]
[108, 586, 171, 603, 'CHEQUE', 0.9995724558830261, 12]
[23, 603, 46, 625, 'CI', 0.9952449202537537, 16]
[106, 605, 163, 623, 'COBRO', 0.9967988729476929, 13]
[163, 606, 248, 623, 'INMEDIATO', 0.9979884624481201, 12]
[24, 625, 81, 642, 'COMER', 0.9992908239364624, 12]
[108, 626, 188, 644, 'COMERCIO', 0.993311882019043, 13]
[24, 644, 64, 662, 'COM', 0.9994814991950989, 13]
[108, 647, 185, 664, 'COMISION', 0.996997594833374, 12]
[23, 664, 52, 685, 'CIE', 0.999279797077179, 15]
[108, 667, 238, 684, 'CONCENTRACION', 0.8098579049110413, 12]
[239, 667, 324, 684, 'INMEDIATO', 0.9707047343254089, 12]
[24, 685, 69, 704, 'CONF', 0.99983811378479, 14]
[108, 688, 210, 705, 'EMPRESARIAL', 0.979422390460968, 12]
[23, 704, 72, 727, 'CONS', 0.9994375109672546, 17]
[108, 708, 225, 725, 'CONFIRMACION', 0.909153938293457, 12]
[24, 725, 72, 744, 'CONV', 0.9985504746437073, 14]
[108, 729, 190, 746, 'CONSULTA', 0.9963628649711609, 12]
[24, 747, 88, 764, 'CORREC', 0.9997009038925171, 12]
[108, 749, 188, 766, 'CONVENIO', 0.9969346523284912, 12]
[24, 767, 68, 786, 'CRED', 0.9994329810142517, 14]
[108, 769, 205, 786, 'CORRECCION', 0.9020254015922546, 12]
[24, 787, 58, 806, 'CTA', 0.9995799660682678, 14]
[108, 790, 174, 807, 'CREDITO', 0.9993352293968201, 12]
[23, 807, 58, 828, 'CED', 0.999678373336792, 15]
[108, 809, 171, 828, 'CUENTA', 0.9989890456199646, 14]
[108, 829, 171, 848, 'CUENTA', 0.9981118440628052, 14]
[171, 831, 193, 846, 'EN', 0.9944973587989807, 11]
[193, 829, 264, 846, 'DOLARES', 0.9996688365936279, 12]
[24, 848, 61, 866, 'DCD', 0.999656081199646, 13]
[108, 851, 187, 868, 'DINAMICA!', 0.4602050185203552, 12]
[185, 849, 211, 869, 'DE', 0.9997989535331726, 15]
[210, 851, 307, 868, 'CONVERSION', 0.9318424463272095, 12]
[106, 869, 132, 889, 'DE', 0.992160975933075, 15]
[131, 871, 190, 888, 'DIVISAS', 0.9047690629959106, 12]
[375, 277, 409, 297, 'DEP', 0.9999605417251587, 15]
[375, 299, 423, 317, 'DESC/', 0.9812811017036438, 13]
[422, 300, 485, 317, 'DESCTO', 0.9889560341835022, 12]
